"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214478_at",-4.68493164444445,10.6061533939394,-10.2921333922108,3.20556901479139e-07,0.000114171218501601,7.20801887732769
"225645_at",3.6228154888889,7.72609442424243,10.1947264642699,3.54661391816545e-07,0.000124158768781315,7.11117497129745
"202427_s_at",-1.14994799999998,11.2674896969697,-10.1672108798003,3.64988461031416e-07,0.000126691206571066,7.08365152424883
"203638_s_at",2.3301157777778,10.7085477575758,10.122091428448,3.82629759894763e-07,0.000130911634170257,7.0383589193843
"219527_at",-1.8310389111111,9.05845069696969,-10.1078097256758,3.88403333169841e-07,0.000130911634170257,7.02398077307403
"209977_at",-1.53529266666666,13.4715096969697,-10.1042370885593,3.89862237128008e-07,0.000130911634170257,7.02038087141687
"226226_at",2.24629684444444,9.02793824242424,10.1040669337149,3.89931867691384e-07,0.000130911634170257,7.02020938667693
"210143_at",-3.4941958,10.0046875151515,-10.0869439873557,3.97007823253837e-07,0.000132203605143528,7.00293801690725
"1559033_at",-1.83577504444444,7.63214857575758,-10.0374059042061,4.18268903621403e-07,0.000138160290511524,6.95280732553188
"202286_s_at",5.18175832222226,8.75377663636365,10.0129454406841,4.29216142386085e-07,0.000139483531840116,6.92796445275503
"212282_at",-2.21374473333333,9.76305672727273,-10.0031380789658,4.3369167002222e-07,0.000139483531840116,6.91798703401371
"211964_at",3.97649711111114,10.4936709090909,9.99687012511313,4.36578300674224e-07,0.000139483531840116,6.91160537094927
"1556499_s_at",5.42351633333334,10.4412516969697,9.99615524959239,4.36908839325923e-07,0.000139483531840116,6.91087727751113
"210377_at",-3.09658088888889,9.55597178787879,-9.9909964563789,4.39302121813887e-07,0.000139483531840116,6.9056215863158
"213626_at",-1.51605088888889,8.90121218181818,-9.91917018033728,4.74130971870275e-07,0.000149380131029041,6.83216922544708
"227695_at",-1.8455906,8.34922818181818,-9.91200407331952,4.77765501228164e-07,0.000149380131029041,6.82481243124718
"228469_at",-2.44108913333333,9.3595756969697,-9.90145156214181,4.83172243994019e-07,0.000149926151073871,6.81396968896088
"217583_at",-1.90376502222222,7.92211915151515,-9.88748799408549,4.9042812537223e-07,0.000151033425467076,6.79960478008939
"201991_s_at",1.17058877777778,9.96649436363637,9.83831908434218,5.16925780459522e-07,0.000157066912145642,6.7488653639433
"200958_s_at",1.10074444444446,12.3043372727273,9.83482117084204,5.18868665189536e-07,0.000157066912145642,6.74524636258461
"217718_s_at",1.34231177777779,11.8715872727273,9.83006337015846,5.21523964252237e-07,0.000157066912145642,6.74032185969998
"214433_s_at",-1.37287957777775,10.7588749393939,-9.80525047084764,5.35610893067551e-07,0.000160132018752948,6.7146021515283
"213503_x_at",2.99385100000001,12.2031316969697,9.79015279289223,5.44382160578572e-07,0.000161574992138679,6.69892192645012
"217820_s_at",1.39228226666667,7.94223957575757,9.77288551189326,5.5460374140319e-07,0.000163424565785131,6.68095975961462
"214864_s_at",-1.65567146666667,11.1632453939394,-9.75696783031518,5.6420946362587e-07,0.000165067538718943,6.66437439439251
"203642_s_at",-2.71036328888888,10.0084589090909,-9.71639913303081,5.89509940806353e-07,0.000171246366421897,6.62198603279591
"210301_at",-1.78657253333334,8.64310490909091,-9.70523231304531,5.96686364377346e-07,0.000171769850640902,6.61028851335568
"207097_s_at",-3.21974395555557,9.16659390909092,-9.70058685761065,5.99699422389436e-07,0.000171769850640902,6.60541848329218
"204675_at",-2.3785297777778,9.75709221212122,-9.66394200386062,6.24049084398304e-07,0.000177502961443543,6.56692364894275
"210013_at",-1.63447022222221,13.6819812121212,-9.62425373378485,6.51625794840421e-07,0.000184068558143923,6.52507412478821
"209291_at",3.77827796666668,8.02154324242425,9.60488959392203,6.65553867938161e-07,0.000186715211485474,6.50459576289408
"205079_s_at",-1.68334115555556,8.77232848484849,-9.59776240469455,6.70760574643329e-07,0.000186895798481742,6.49704858181332
"201397_at",-2.08634482222221,8.505452,-9.58057318274575,6.83499111905974e-07,0.000189158379219978,6.47882449770937
"204290_s_at",-1.77135877777777,11.4465813636364,-9.55298099265308,7.04494217147516e-07,0.000193660259329833,6.44950616509002
"207988_s_at",1.11724861111109,10.393909,9.50660895668817,7.41357390558584e-07,0.000200263812194498,6.40005208519006
"211442_x_at",-2.11358602222222,8.56765796969697,-9.50583487150754,7.41990074371146e-07,0.000200263812194498,6.39922461925745
"218856_at",2.53333301111111,8.39504706060606,9.50299293411129,7.44317861075231e-07,0.000200263812194498,6.39618615719139
"1554491_a_at",-2.14443088888888,13.2425175757576,-9.4984272395642,7.48074007318493e-07,0.000200263812194498,6.39130294220144
"208374_s_at",1.00540611111111,10.4928006666667,9.4866538794846,7.57854184658357e-07,0.000201475877801213,6.3787005875466
"205361_s_at",1.37839981111111,7.28358975757576,9.48119016765775,7.62439538543129e-07,0.000201475877801213,6.37284715361715
"213429_at",3.56638786666665,7.98785739393939,9.38418155730092,8.49020579549565e-07,0.000222916884088273,6.26838798504932
"223306_at",-1.78842731111111,9.19984893939394,-9.31198895247219,9.20296161948184e-07,0.000240091786606597,6.18999354671231
"225612_s_at",1.13882902222222,6.815256,9.28887930358574,9.44450733287832e-07,0.000243836428140704,6.16477918409347
"41220_at",1.14288977777779,11.7620909090909,9.28206953995396,9.51697725405406e-07,0.000243836428140704,6.1573381248599
"206263_at",-1.06499923333335,9.84577260606062,-9.28131039994996,9.52509302046258e-07,0.000243836428140704,6.15650829586954
"218688_at",-1.49777805555556,7.63476984848485,-9.27475721241181,9.59546147359295e-07,0.00024411211583658,6.14934227948782
"205972_at",-1.70247842222222,8.30487806060606,-9.25134112138751,9.85150570449284e-07,0.0002485822116963,6.12369807009492
"235642_at",-2.89513783333333,7.74593742424242,-9.24764827588317,9.89255121133254e-07,0.0002485822116963,6.11964836185644
"211945_s_at",1.21405466666666,12.723863030303,9.22943383376068,1.00977090689503e-06,0.000252190283997035,6.09965187562412
"221848_at",-2.35483735555556,9.12688327272727,-9.21066807327244,1.03138673214436e-06,0.000254798696455183,6.07901203580369
"213279_at",-1.82723297777778,10.9135123333333,-9.19539867667844,1.04934212448274e-06,0.000256011063927535,6.06218914056569
"202403_s_at",3.04008377777778,10.3153604848485,9.19478476522134,1.05007101588969e-06,0.000256011063927535,6.06151223295098
"204948_s_at",-1.87120751111113,10.2774389090909,-9.18545487771527,1.06121552574469e-06,0.000257197199520572,6.05121984820559
"225799_at",2.64167991111111,8.23766115151515,9.16807198949525,1.08231976567139e-06,0.000260769031071379,6.0320180559968
"201318_s_at",1.05809199999998,12.3308709090909,9.14373099900611,1.11263302638923e-06,0.000266504889636704,6.00507389336059
"213039_at",1.65189122222221,9.42396842424242,9.10473037821227,1.16312083138212e-06,0.000275504651458878,5.96176518508334
"212154_at",-2.23726186666667,9.89346278787879,-9.10432459593328,1.1636588955391e-06,0.000275504651458878,5.96131368935701
"203166_at",1.46338662222221,9.43586018181818,9.05484139437396,1.23132162426256e-06,0.000289848864414771,5.90611806476245
"203790_s_at",-1.95360511111113,12.5813521212121,-9.02933750466771,1.26783548515553e-06,0.000296738706494202,5.87756281454409
"210942_s_at",-2.38617568888889,7.85166290909091,-9.02350317159994,1.27635090716873e-06,0.000297034413674568,5.87102016716648
"213857_s_at",1.15050294444444,9.97424493939394,8.98783473009013,1.32976459498094e-06,0.000307716542631776,5.83093797789664
"200625_s_at",1.39031777777778,10.9266555151515,8.97874949118733,1.3437501291603e-06,0.000309205963709419,5.82070553248871
"231029_at",-2.38416319999999,8.64237545454545,-8.96036164445968,1.37254163636288e-06,0.000314066664155236,5.79996722001556
